毕业生首选数据分析师 应届生也可以月入过万,99%,北京万向卓迹商贸有限公司,8001-10000,北京,最新,    ♘♘♘生命短暂，禁不起一份错误的工作。快跳槽吧♘数据分析师   别再为错误的工作卖命了。看着人物委身在自动售卖机、自动提款机里忙碌工作，总觉得一阵心酸。Life is too short for a wrong job! 生命短暂，禁不起一份错误的工作。快跳槽吧。      岗...,http://jobs.zhaopin.com/424426231250064.htm
6k提成师徒制/金融数据分析师步入人生巅峰,99%,南京梵汇德盈信息科技有限公司,6001-8000,南京,最新,    不要怀疑你的眼睛你没看错我也没发错我们就是想在不同的地方找到人才      我们通常只关注自己熟悉的行业和我们能够驾驭的工作，与此同时，有没有想过我们关注的行业还有多少发展和上升空间，同样都是工作8小时，为什么别人能挣1-2万而自己还在为7-8千纠结，外面的世界很  精彩，走出来看看吧   ...,http://jobs.zhaopin.com/415176181251190.htm
8底薪8k起高薪诚聘金融数据分析师+五险一金,99%,华壹信融投资管理(北京)有限责任公司,8001-10000,北京,最新,   有一个词叫“北漂”，它代表着梦想  有两个字叫“帝都”，它代表着勇气  你还因为目前缺少工作经验而被善意拒绝吗？    还在为别人的指责“高不成低不就”而伤心吗？    那么现在，你就可以毫不犹豫来加入华壹信融！    我...,http://jobs.zhaopin.com/240509239295022.htm
数据分析师（政务服务领域）,100%,佛山市诚信数据集成中心,4000-8000,佛山,最新,   岗位职责：    1.  参与公司数据项目的前期调研工作；    2.  负责数据分析、建模和挖掘，并提交有效的分析报告；    3.  根据项目的数据情况，提出数据分析方向，并使之有效实现；    4.  负责数据可视化构思，并配合美工以及前端对其进行实现。         任职要求：   ...,http://jobs.zhaopin.com/CC397952587J00064157803.htm
数据分析师,100%,北京快成物流科技股份公司太原分公司,4000-8000,太原,最新,  岗位要求：  1、 具有团队精神，活波、开朗；   2、数学、统计、经济学专业硕士以上学历；  3、具有较好的统计分析能力，有相应的数据意识；  4、能适应高强度工作，阶段性出差；  5、能撰写市场调研报告，数据分析汇总等工作；  6、熟悉office软件，懂SPAA、SAS等统计分析建模者优先...,http://jobs.zhaopin.com/CC410796481J00050372710.htm
数据分析师 /助理五险双休带薪培训实习生,100%,广州中冠实业投资有限公司,4500-8000,广州,最新,  在西藏，再努力也烧不开一壶水：说明环境很重要。  骑自行车，再努力也追不上宝马，（开拖拉机追不上高铁）：说明平台很重要。  狗对熊说：嫁给我吧，你会幸福的。熊说：嫁你生狗熊，我要嫁给猫，生熊猫才尊贵，说明选择很重要。     我们通常只关注自己熟悉的行业和我们能够驾驭的工作，与此同时，有没有想过...,http://jobs.zhaopin.com/CC688169231J00072020104.htm
数据分析师/助理 高底薪+双休+福利齐全,99%,北京万向卓迹商贸有限公司,8001-10000,北京,最新,    岗位职责：      1.   严格执行公司各项制度，，并定期整理金融数据，向上级领导账户分析结果；     2.   按照部门主管自2012年开始，金融行业已成为应届毕业生及海归学子心目中最炙手可热的求职目标之一。2018，我们启动全新（金融助理、数据分析师）选聘计划，在这里...,http://jobs.zhaopin.com/424426231250017.htm
机械转行9k大数据分析师,100%,北京联科博远教育科技有限公司,8001-10000,北京,最新,"  岗位职责：  1、完成软件系统代码的实现，编写代码注释和开发文档；  2、辅助进行系统的功能定义,程序设计；  3、根据设计文档或需求说明完成代码编写，调试，测试和维护；  4、分析并解决软件开发过程中的问题；  5、协助测试工程师制定测试计划，定位发现的问题；  6、配合项目经理完成相关任务目...",http://jobs.zhaopin.com/CZ638945620J00048525513.htm
高薪急招大数据分析师实习生,98%,北京联科博远教育科技有限公司,8001-10000,北京,最新,   大数据分析实习生  (高端信息化人才培养  )        一、  岗位要求  ：    （一）  性别要求: 不限    （二）  年龄要求: 21周岁  以上    （三）  学历要求: 学信网可查询的大专及以上学历，但不包括远程教育、函授学历    （四）  专业要求: 理工科专业  ...,http://jobs.zhaopin.com/CZ638945620J00048426313.htm
数据分析师（互联网领域）,100%,佛山市诚信数据集成中心,4000-8000,佛山,最新,  岗位职责：  1.参与公司数据库的大数据应用场景探索工作，从海量互联网数据中挖掘有用的价值信息，并协调开发进行相应的产品化处理。  2.参与公司数据项目的前期调研工作，主要包括业务和数据库两部分的调研。 3.根据项目的需求情况，对数据进行针对性的分析、建模和挖掘，并提交有效的分析报告。 4.根据...,http://jobs.zhaopin.com/CC397952587J00064143003.htm
数据分析师助理 全职兼职均可,92%,信尔(北京)投资基金管理有限公司,8001-10000,北京-房山区,最新,  因为我们公司，有你想要的——  简单透明的企业文化；  公平公开的晋升机制；  新人入职的专业培训；  底气十足的高薪提成；  丰富多彩的旅游奖励…  人生的每一笔经历，都在书写你的简历。原本你以为微不足道的事情，回头看的时候，都有着无法细数的刻度。自己拼出来的东西，和别人送到嘴边的东西，意义和...,http://jobs.zhaopin.com/CC286596486J00044796712.htm
